Date,PlotName,NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD,ID,Blue,Green,Red,RedEdge,NIR,NGRDI,BGI,GLI,NDVI,NDRE,CIG,CIRE,Canopy,objNumCell,naNumCell,Height_0,Height_25,Height_50,Height_75,Height_100,Height_10,Height_90,DAP
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1176,NDHWS17-0365-H50,1176,2,16,22,NDSW1379/B105'S'//NDSW14098,205,174,26,2,88.01,45,0.03140151,0.033849573,0.024872122,0.052713973,0.168365152,0.188434207,0.843665981,0.148978459,0.678956371,0.465742027,4.839288106,2.408892981,0.601532567,5024,8352,-0.166895644,0.046716782,0.120488295,0.188670965,0.243448719,-0.021848084,0.21063907,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1175,NDHWS17-0066-C42,1175,2,16,23,NDSW1379/NDSW1370,207,175,29,1,89.17,46,0.032936459,0.036550158,0.026868573,0.056166029,0.183767404,0.186101871,0.821173645,0.157124732,0.675415225,0.467943583,4.81309606,2.464662588,0.606681034,5067,8352,-0.160106718,0.048273072,0.138819373,0.180655559,0.226974327,-0.03846768,0.20926912,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1174,NDHWS17-0187-C21,1174,2,16,24,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,209,178,29,1,102.17,47,0.030121807,0.034047637,0.024770871,0.053444759,0.18955458,0.204080367,0.778561533,0.180892687,0.703339599,0.499543077,5.74661265,2.843884399,0.641044061,5354,8352,-0.168425869,0.048223493,0.11615983,0.151392919,0.187966134,-0.005468598,0.167957902,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1173,ELGIN-ND,1173,2,16,25,WALWORTH/REEDER//ND721,207,172,31,2,89.49,48,0.035228343,0.038210599,0.027888558,0.058629842,0.173403016,0.189068212,0.847720004,0.14698717,0.672174381,0.451758204,4.223693489,2.153075729,0.610632184,5100,8352,-0.149945925,0.030394167,0.129335331,0.210005783,0.253906588,-0.046647448,0.239694573,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1172,NDHWS17-0279-H68,1172,2,16,26,B104'S'/NDSW0612//NDSW1379,210,178,32,1,87.33,49,0.032425028,0.036997662,0.02717756,0.056339503,0.179381036,0.178999418,0.813639545,0.154168762,0.676871667,0.467820231,4.452014638,2.338688591,0.628951149,5253,8352,-0.143168148,0.022963884,0.099798298,0.152847511,0.203487542,-0.051478048,0.169714652,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1171,NDHWS17-0066-A11,1171,2,16,27,NDSW1379/NDSW1370,207,174,27,2,93.34,50,0.03210225,0.0358056,0.02613518,0.055205687,0.173277129,0.186048679,0.824113865,0.154600447,0.67725473,0.462596889,4.509550451,2.313384789,0.617816092,5160,8352,-0.157302005,-0.002133393,0.098037599,0.152171217,0.21713447,-0.063253048,0.186413512,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1170,NDHWS17-0057-C26,1170,2,16,28,NDSW1370/NDSW0914,208,173,29,1,99.17,51,0.031235057,0.034247695,0.025496179,0.052560286,0.172936925,0.177095906,0.831495223,0.147632814,0.678453844,0.474142097,4.861435535,2.501126561,0.616618774,5150,8352,-0.189071695,0.072398261,0.163527857,0.216214736,0.253874662,-0.026178487,0.23209482,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1169,ELGIN-ND,1169,2,16,29,WALWORTH/REEDER//ND721,207,172,32,1,96.36,52,0.031993302,0.036234137,0.025805848,0.056400468,0.181895453,0.200944485,0.812174528,0.16519645,0.692773192,0.475610019,4.690458056,2.385562009,0.644157088,5380,8352,-0.185438507,0.029731356,0.152613433,0.213352751,0.266452996,-0.054928352,0.24915159,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1168,NDHWS17-0187-H65,1168,2,16,30,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,209,176,31,2,109.89,53,0.030656191,0.03455655,0.025009891,0.054077231,0.187565057,0.199513785,0.797864217,0.171723852,0.695840074,0.488604327,5.383452769,2.691520897,0.628232759,5247,8352,-0.200588994,0.063975835,0.143839584,0.198601592,0.231297446,-0.026851308,0.21483164,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1167,NDHWS17-0256-C36,1167,2,16,31,NDSW14098/NDSW0612,209,176,30,2,111.78,54,0.030711096,0.034004155,0.025048914,0.052931698,0.183492266,0.191628507,0.807399119,0.162486631,0.700256655,0.498224067,5.559186904,2.79860034,0.634937739,5303,8352,-0.227618868,0.056344778,0.149192115,0.18497225,0.234949555,-0.032475323,0.208388179,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1166,NDHWS17-0013-A17,1166,2,16,32,NDSW1379/NDSW0601,210,176,30,1,121.11,55,0.028795502,0.032260116,0.02347862,0.05074275,0.179686097,0.197891967,0.799989742,0.170101686,0.700476982,0.495199751,5.586910724,2.775760348,0.632543103,5283,8352,-0.20343517,0.070317693,0.159450748,0.199000019,0.235209585,-0.012557764,0.212840209,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1155,NDHWS17-0187-C34,1155,2,15,22,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,178,29,1,94.1,56,0.031076586,0.036403994,0.02582148,0.057024663,0.198051144,0.210900761,0.767877196,0.193163554,0.680577023,0.471152481,5.269794256,2.628929255,0.605363985,5056,8352,-0.171614123,0.006272534,0.064037445,0.14115898,0.197643112,-0.062049485,0.172431824,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1156,NDHWS17-0066-A04,1156,2,15,23,NDSW1379/NDSW1370,211,179,27,1,94.56,57,0.033418227,0.038096855,0.027233599,0.059200118,0.189559346,0.209347715,0.78954009,0.18359444,0.670619325,0.454396704,4.765250128,2.367607713,0.589439655,4923,8352,-0.182901304,-0.005702539,0.0742137,0.148751405,0.213841782,-0.065015967,0.186891609,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1157,NDHWS17-0323-C10,1157,2,15,24,NDSW15128/NDSW1370//NDSW14098,211,179,28,2,100.59,58,0.031996059,0.037166309,0.026639234,0.058035533,0.199723745,0.207381442,0.766541704,0.18976794,0.684635938,0.476729759,5.288395792,2.63507306,0.621048851,5187,8352,-0.153519917,0.015913372,0.09030864,0.122696286,0.180858366,-0.045639849,0.149777422,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1158,NDHWS17-0187-C40,1158,2,15,25,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,178,28,1,103.35,59,0.032888027,0.038252046,0.027000838,0.059933522,0.206945044,0.21601738,0.765243795,0.194665182,0.691705414,0.48086549,5.38245633,2.686968325,0.617935824,5161,8352,-0.136375994,0.066058318,0.149970796,0.18287784,0.225272204,-0.029302804,0.19983549,52
